"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5S_rRNA",4.51090151706231,-0.774384164760136,0.538674156506477,-1.43757437665533,0.150554855491605,0.229724797484901
"7SK",40.2821385835055,4.64608964855058,0.546921915763169,8.49497801174684,1.97970388625907e-17,7.02543648164322e-16
"A1BG",26.676103404796,2.42800945970125,0.526993145647459,4.60728850034325,4.0795380523554e-06,2.40166894380325e-05
"A1BG-AS1",148.878543742566,0.983576128694718,0.228310866022518,4.30805658017919,1.6469525972813e-05,8.52365967261717e-05
"A2M",8.40532889473728,-5.36233691236882,1.3754890677178,-3.89849475231814,9.67924980441864e-05,0.000412796311622332
"A2M-AS1",6.34753717603844,0.34417280447941,0.701084543998777,0.4909148367704,0.623486682866957,0.706106496018613
"A2ML1",15.2212102169413,-6.91599365494011,1.74078552623252,-3.97291541704624,7.09982657199945e-05,0.000314842293465577
"A2ML1-AS2",4.09778329057924,0.181646935390615,0.695880941606804,0.26103162844378,0.7940681165814,0.84665881771008
"A3GALT2",9.77424163460438,1.93364233495386,0.69003694514932,2.80223015382956,0.0050750653424825,0.0134316796552319
"A4GALT",121.682253735501,-2.67001348668992,0.482304867144239,-5.53594555762884,3.09553718798601e-08,2.80777171342331e-07
"AAAS",1356.74086832527,0.556737319371708,0.262423170530176,2.12152500957491,0.0338776455826474,0.0673458790838951
"AACS",2363.53227703523,1.07662936906932,0.383311717919641,2.80875673436895,0.00497332106919439,0.0132061485498957
"AACSP1",7.00089569581024,3.89049653367643,1.73884227268409,2.23740622987675,0.0252598017390986,0.0526234892223908
"AADAC",0.744486466738217,1.86932890494039,1.61771427032483,1.15553712990678,0.247870536801396,0.342733964157152
"AADAT",544.625580649281,0.478321395773007,0.308035847067902,1.55281081837065,0.120468337390413,0.191865621755639
"AAED1",301.648134841701,0.0420477470245987,0.207367978254148,0.202768756191785,0.839315779563772,0.88139346050251
"AAGAB",1610.520274658,-0.747873483999673,0.187181663260897,-3.99544202659035,6.45736578585639e-05,0.000289752530224147
"AAK1",908.564598306541,-1.62255323864842,0.310998426303483,-5.21723938585167,1.8160948492611e-07,1.41937608621401e-06
"AAMDC",231.183398340976,-0.909716265876935,0.178969320756707,-5.08308497808747,3.71353458365902e-07,2.72757555460031e-06
"AAMP",2356.55063790618,-0.239001856877122,0.174948607655783,-1.36612608742429,0.171899391459642,0.255786440843794
