,SC4.435_flank,SC4.613_flank,SC4.616_flank,SC4.917_flank,SC4.918_flank,SC4.920_flank,SC39.739_flank,SC39.963_flank,SC39.964_flank,SC16.A1465,SC16.A1466,SC16.A1467,SC49.A1428,SC49.A1430,SC49.A1431,TC568c.A1531,TC568c.A1532,TC568c.A1533
FAM214A,495,434,383,586,215,365,371,310,298,789,1226,1401,1082,759,963,769,801,1417
FAM214B,343,389,297,345,333,343,701,708,721,148,218,206,152,73,95,76,100,73
FAM215A,34,28,30,23,13,14,21,16,30,0,5,0,6,2,2,16,18,7
FAM215B,140,174,178,97,209,193,198,220,161,237,120,191,146,11,18,140,80,34
FAM216A,238,370,294,310,214,203,294,207,228,72,247,182,244,157,358,207,246,403
FAM216B,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
FAM217A,0,0,0,0,1,1,1,0,2,0,0,0,6,1,7,6,7,4
FAM217B,663,626,597,805,426,502,1280,886,926,2626,3694,3142,959,1100,1267,653,578,1151
FAM218A,91,94,67,100,57,63,386,288,274,18,88,60,0,4,1,2,0,2
FAM218BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM219A,1501,1582,1296,1177,950,1090,2814,3082,3335,206,971,326,1596,708,867,995,1027,1347
FAM219B,2762,2924,2459,2559,1995,2637,1729,1708,1662,299,684,465,1778,782,1124,1123,1307,1267
FAM21A,311,308,245,277,208,219,304,265,283,290,823,728,1963,1194,2305,1314,1340,2528
FAM21C,516,605,416,581,349,351,782,618,701,224,597,468,1657,1017,1840,1182,1314,2192
FAM21FP,13,15,7,11,13,15,12,15,12,2,6,7,12,9,14,16,16,28
FAM220A,584,646,505,568,466,504,418,350,371,67,295,187,547,577,1085,263,399,812
FAM220BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM220CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM221A,666,608,508,1101,397,452,1035,761,966,258,787,543,1021,535,603,685,684,930
FAM221B,1,0,5,10,2,2,2,1,3,4,1,13,5,0,1,4,1,0
FAM222A,555,655,458,370,311,439,3094,3854,2909,49,283,136,593,376,709,400,520,1048
FAM222A-AS1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,2,3
FAM222B,1099,1258,1079,925,857,994,760,696,666,376,683,642,672,445,635,462,515,657
FAM223B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM224A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM224B,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
FAM225A,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0
FAM225B,0,0,0,0,1,1,0,0,3,5,2,3,6,0,0,3,0,0
FAM227A,736,868,829,803,433,605,1064,1726,1458,251,217,249,1102,203,306,974,937,580
FAM227B,87,48,59,78,35,42,128,155,131,42,98,85,328,415,655,290,235,284
FAM228A,3,16,2,6,9,7,16,10,11,2,1,2,10,0,7,7,5,0
FAM228B,418,448,441,533,402,373,636,589,540,809,414,708,945,321,418,644,514,485
FAM229A,1466,1672,1375,2132,1482,1921,313,338,310,56,62,104,295,59,80,121,150,71
FAM229B,199,209,183,177,182,163,137,121,100,129,334,381,167,138,224,112,99,281
FAM230A,16,22,28,21,26,27,53,49,36,0,0,0,0,0,0,0,0,0
FAM230B,5,7,4,4,0,3,3,0,1,0,0,1,2,0,2,3,0,3
FAM230C,1,4,4,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0
FAM231A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM231B,2,0,2,1,3,1,25,9,11,0,0,0,4,1,2,2,1,2
FAM231C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM231D,2,3,1,3,4,1,4,10,6,0,0,0,2,0,0,0,0,0
FAM24A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM24B,179,198,144,143,110,137,164,96,124,0,0,0,70,27,15,53,51,38
FAM25A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM25C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FAM25E,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
FAM25G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FAM26D,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
FAM26E,0,3,2,6,1,2,13,5,13,46,44,111,21,8,40,14,19,16
FAM26F,30,36,31,15,16,29,13,7,6,5,5,3,0,0,1,0,0,0
FAM27B,8,10,9,2,3,6,25,39,34,1,4,2,4,0,0,3,0,2
FAM27C,0,0,0,0,0,0,0,0,0,45,258,124,38,8,24,32,36,43
FAM27D1,2,3,3,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
FAM27E2,12,8,5,1,3,5,12,17,18,1,0,3,0,1,0,0,0,1
FAM27E3,19,41,23,17,6,15,93,75,67,71,229,144,311,102,180,201,290,332
FAM27E4,1,3,4,1,2,0,14,9,11,0,0,0,0,0,0,0,0,0
FAM32A,1923,2067,1844,2431,1827,1980,2086,1996,1874,622,2662,1851,2718,2415,3085,1521,1711,3460
FAM35A,689,662,587,808,452,486,537,419,387,135,486,307,866,880,1127,456,690,1183
FAM35BP,10,16,19,16,10,20,4,5,1,13,26,40,15,26,26,10,23,30
FAM35CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM35DP,0,2,4,2,0,0,2,5,1,0,0,0,1,2,6,1,2,10
FAM3A,1035,925,939,693,747,908,1599,1477,1455,360,1092,810,622,404,462,267,288,451
FAM3B,1536,1561,1351,2104,1616,1840,735,642,588,810,1635,1746,5,0,0,0,0,1
FAM3C,1507,1417,1389,1735,819,935,2600,2257,2040,153,732,515,1435,1470,1946,1055,1050,2114
FAM3C2,46,53,38,46,26,23,83,48,61,2,10,7,63,56,53,28,38,77
FAM3D,2,4,2,6,2,1,0,6,4,2,1,37,7,0,2,0,1,0
FAM41AY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM41AY2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
