,SC4.435_flank,SC4.613_flank,SC4.616_flank,SC4.917_flank,SC4.918_flank,SC4.920_flank,SC39.739_flank,SC39.963_flank,SC39.964_flank,SC16.A1465,SC16.A1466,SC16.A1467,SC49.A1428,SC49.A1430,SC49.A1431,TC568c.A1531,TC568c.A1532,TC568c.A1533
5S_rRNA,4,6,3,1,5,1,2,7,8,2,3,2,11,6,10,2,1,6
7SK,113,88,96,82,81,72,46,46,34,3,3,4,2,1,0,2,3,0
A1BG,28,37,28,25,17,22,89,84,97,8,3,7,9,1,7,9,12,6
A1BG-AS1,234,233,227,172,129,260,213,244,213,43,108,66,105,114,48,61,46,73
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,0,2,1,1,0,1,0,0,0,19,44,20,0,1,0,0,0,0
A2M-AS1,12,15,12,5,7,11,3,2,3,1,11,12,1,1,2,1,0,2
A2ML1,0,0,0,1,1,0,1,0,0,10,5,151,0,0,0,0,0,0
A2ML1-AS1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,2,4,5,7,6,6,6,7,3,6,1,9,0,1,14,1,0
A2MP1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
A3GALT2,9,17,11,17,13,19,30,18,13,1,0,1,20,0,1,7,3,6
A4GALT,21,37,32,27,44,61,64,65,50,28,62,67,393,414,509,229,285,401
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAAS,1376,1417,1287,1473,1215,1310,2934,2833,2717,210,945,613,1505,1087,1778,1003,1109,1867
AACS,4403,4467,3844,4216,2844,3816,2361,2405,2296,741,2473,1772,672,548,704,420,398,854
AACSP1,0,1,0,1,0,0,38,33,56,0,0,2,2,0,0,1,0,0
AADAC,0,1,1,4,1,4,0,0,0,0,1,0,0,0,0,0,0,0
AADACL2,1,0,2,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0
AADACL3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,677,512,493,670,352,358,1519,959,1103,184,663,447,406,309,268,261,233,295
AAED1,307,352,268,336,262,257,489,451,501,89,231,207,257,353,473,208,207,481
AAGAB,1252,1372,1232,1746,1179,1219,1802,1822,1624,499,1779,1234,2907,2251,3493,1466,1935,3552
AAK1,506,607,551,334,465,549,928,590,663,1152,1680,1457,1117,650,973,714,782,1189
AAMDC,195,203,176,168,183,232,197,219,187,125,466,277,281,244,299,160,155,295
AAMP,2904,2809,2774,2401,2233,2514,2245,2450,2312,609,2946,1720,2911,2594,3859,1588,2090,3947
AANAT,2,2,1,4,5,1,13,8,10,1,2,0,0,0,4,1,4,0
AAR2,1053,1077,1008,999,952,1029,1063,1035,963,279,1231,828,1146,1116,1471,713,728,1581
AARD,171,175,174,141,150,174,50,126,121,9,7,17,7,2,3,2,1,0
AARS,4125,3923,3694,2619,2234,2763,2892,1915,2336,841,4505,2322,3968,2726,4267,2478,2447,5278
AARS2,914,958,884,891,736,788,1186,1131,1103,192,556,330,1345,845,640,825,894,977
AARSD1,209,280,229,295,263,253,217,167,192,128,138,157,231,23,34,164,151,60
AASDH,551,507,459,586,308,346,789,723,763,924,622,883,324,275,390,239,271,448
AASDHPPT,757,829,637,959,457,487,1249,761,832,370,960,819,1719,1777,2668,1059,1337,2860
AASS,46,28,34,32,35,30,434,307,320,156,135,238,99,147,33,41,31,38
AATF,1614,1907,1629,1630,1358,1465,999,1097,927,694,3216,1813,2634,2122,3312,1661,1857,4245
AATK,282,210,173,188,151,173,244,274,177,74,136,92,440,79,116,261,161,135
AATK-AS1,3,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,1,2
AB015752.3,0,0,0,2,0,1,4,0,0,1,0,1,0,0,0,0,0,0
AB019438.66,0,0,0,1,0,2,3,1,5,0,0,0,0,0,0,0,0,0
AB019440.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB019441.29,24,29,28,119,18,30,16,14,18,70,112,106,64,114,70,41,44,69
ABAT,1352,1104,1354,1846,765,1118,1960,3112,2485,623,1523,1126,26,14,10,22,16,11
ABC12-47043100G14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA1,209,334,133,121,328,348,151,92,186,92,155,167,56,44,14,82,107,75
ABCA10,42,57,25,166,46,69,19,6,10,51,20,66,1424,524,237,626,550,230
ABCA11P,110,123,99,251,109,99,51,50,33,28,64,75,82,44,97,79,77,52
ABCA12,66,27,44,14,15,24,36,431,236,242,206,409,0,0,1,0,0,0
ABCA13,2,2,4,8,4,6,2,7,8,55,78,78,9,7,4,4,7,4
ABCA17P,9,16,10,8,12,18,16,10,7,1,1,3,6,0,0,0,3,2
ABCA2,1817,1823,1411,1207,1148,1113,1744,2399,2309,53,175,84,1594,344,610,1404,1192,905
ABCA3,1965,1963,1492,1902,1344,2116,4987,4046,3907,216,506,306,515,306,483,308,260,549
ABCA4,6,5,16,15,11,14,1,0,0,6,20,46,0,0,3,3,4,5
ABCA5,1628,1397,1123,2990,1157,1287,1263,467,579,1454,1324,2007,26606,11701,15301,18136,21841,16468
ABCA6,7,6,4,15,4,5,10,3,4,3,1,0,388,123,65,144,145,32
ABCA7,592,334,398,310,311,425,1564,1384,1261,427,549,386,3087,431,481,2320,2128,956
ABCA8,7,8,8,3,5,10,9,13,8,6,7,5,1726,4838,1784,99,224,303
ABCA9,7,4,14,19,13,10,8,8,15,15,9,8,844,145,52,288,306,45
ABCA9-AS1,0,0,0,0,0,0,7,19,8,0,0,0,1,0,0,1,0,0
ABCB1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
ABCB10,698,724,688,910,476,553,1122,891,942,278,542,703,962,805,1186,588,794,1268
ABCB10P1,0,0,1,0,0,0,5,3,0,0,1,2,0,0,0,0,0,0
ABCB10P3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
ABCB10P4,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ABCB11,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0
ABCB4,0,1,0,0,2,0,2,0,0,0,8,10,0,0,0,0,0,4
ABCB5,2,7,5,8,5,11,15,8,17,9,6,8,4,2,3,14,5,5
ABCB6,578,700,718,603,559,596,425,439,430,7,10,4,69,12,11,52,91,26
ABCB7,694,760,699,844,478,539,856,722,814,620,1185,913,823,711,927,521,455,897
ABCB8,1557,1411,1212,1167,978,1301,3315,3239,3079,79,431,272,693,254,357,468,499,464
ABCB9,451,508,474,310,394,509,600,592,550,108,150,136,344,129,201,267,274,248
ABCC1,2904,2866,2619,2025,1678,2478,1498,1511,1675,216,453,346,961,817,666,577,562,757
ABCC10,833,790,662,617,546,808,1286,1224,1170,47,172,75,1103,590,323,788,878,601
ABCC11,10,6,11,8,7,6,4,3,8,0,5,1,12,0,8,7,4,3
ABCC12,0,0,0,0,1,1,6,0,1,0,1,0,41,15,23,32,18,57
ABCC13,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ABCC2,58,101,79,102,74,53,45,43,50,14,7,18,12,6,4,18,14,11
ABCC3,1630,1598,1496,708,1444,2651,9,12,9,100,47,38,314,227,144,185,126,98
ABCC4,108,131,77,231,68,111,31,3,7,1,8,5,1193,1684,1522,633,696,1220
ABCC5,5645,4790,4077,3738,2531,3425,2385,2080,1949,304,941,742,1512,928,976,669,771,809
ABCC5-AS1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ABCC6,423,338,353,294,247,511,1,32,29,73,101,148,0,0,0,1,0,0
ABCC6P1,84,80,73,69,58,106,2,28,26,53,39,134,0,0,0,0,0,0
ABCC6P2,13,18,15,7,12,18,0,2,3,4,8,10,0,0,0,0,0,0
ABCC8,1165,1088,1259,1088,770,999,702,681,679,78,330,111,124,8,17,143,106,74
ABCC9,282,298,269,290,227,273,750,679,691,560,284,439,1121,1075,886,628,541,617
ABCD1,465,509,361,359,465,665,486,472,407,21,27,16,183,73,102,114,131,95
ABCD1P2,6,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P4,25,3,10,1,5,25,0,0,0,0,0,0,1,0,1,0,0,0
ABCD1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD2,0,0,0,0,0,0,0,1,1,1,3,2,267,17,171,242,356,946
ABCD3,1961,1697,1610,2313,1158,1362,1603,1245,1386,735,1727,1469,1611,2111,2473,1009,1150,3074
ABCD4,1925,1977,1776,1787,1506,1693,3396,3330,3422,481,1020,1092,1495,716,693,920,880,765
ABCE1,911,926,866,1210,590,646,1186,832,990,674,1924,1702,1649,3495,2384,860,1195,2807
ABCF1,3285,4125,3303,3484,3424,3723,3794,4201,4070,1802,4627,3057,8470,7910,7600,5700,5465,8758
ABCF2,1505,1692,1444,1433,1262,1414,1573,1545,1518,103,617,301,1211,1360,1573,840,920,2169
ABCF2P1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABCF2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF3,2032,2166,1790,1839,1566,1771,1303,1307,1314,255,996,544,1526,1119,1135,588,723,942
ABCG1,834,1140,551,410,755,1111,743,618,511,123,282,159,29,40,4,28,35,40
ABCG2,15,10,6,1,2,4,3,1,0,0,3,0,0,0,0,0,0,0
ABCG4,5,6,4,6,8,6,48,26,23,1,3,0,16,1,8,13,10,7
ABCG5,0,1,2,2,5,0,1,0,1,0,0,0,66,62,64,68,50,84
ABCG8,2,2,3,3,6,2,2,1,1,0,0,0,22,22,35,16,24,55
ABHD1,8,14,7,8,5,8,11,23,30,41,18,21,23,11,7,9,8,4
ABHD10,1484,1488,1272,1913,919,1186,1204,1040,1116,307,1244,942,1531,1524,2723,962,1285,2900
ABHD11,1002,857,797,700,632,906,1275,1638,1762,226,686,521,747,361,562,513,477,546
ABHD12,2841,2412,2156,1769,1686,2079,2603,2807,2851,393,2427,1267,1383,1004,1476,763,804,1584
ABHD12B,3,4,5,1,4,8,16,10,7,5,1,3,5,0,1,0,3,2
ABHD13,489,574,431,665,330,326,1115,942,978,363,669,800,764,785,1131,484,700,1261
ABHD14A,173,164,156,151,129,177,66,110,64,9,22,10,59,36,36,19,43,39
ABHD14A-ACY1,1,4,1,3,6,1,2,3,3,0,0,0,1,2,0,2,0,1
ABHD14B,392,425,333,343,371,442,85,143,119,120,291,218,521,410,675,272,344,499
ABHD15,273,237,279,154,174,330,153,225,185,84,157,103,457,333,514,267,255,379
ABHD16A,221,252,174,183,102,175,364,261,243,0,5,7,63,29,10,41,54,33
ABHD16B,6,9,4,3,4,7,9,11,4,0,0,0,0,0,0,1,1,1
ABHD17A,1761,1607,1385,1420,1503,1857,1803,1776,1627,256,1187,601,1590,545,908,824,1066,1246
ABHD17AP1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
ABHD17AP3,0,0,1,0,0,0,6,3,2,0,2,0,1,0,1,0,0,1
ABHD17AP4,0,0,0,0,0,1,69,35,41,0,0,0,5,1,4,0,0,0
ABHD17AP5,0,0,0,0,0,0,1,0,0,0,0,0,8,6,4,4,1,4
ABHD17AP6,0,0,1,0,0,1,1,0,0,0,6,1,0,0,0,0,0,2
ABHD17B,512,568,480,728,337,409,942,757,807,145,530,405,1099,1040,1686,683,819,1712
ABHD17C,391,338,335,424,259,356,403,467,468,755,798,965,372,398,494,202,296,707
ABHD2,21125,20447,19100,17197,11045,17284,6748,6670,6359,1539,2475,1844,2558,2573,2812,1668,1781,3030
ABHD3,1044,801,699,950,492,705,782,431,462,499,1742,1179,984,762,1011,839,1069,2370
ABHD4,725,669,580,480,376,517,515,486,454,87,307,145,396,620,376,141,187,339
ABHD5,364,311,296,266,127,183,222,149,151,84,252,169,250,340,417,165,251,514
ABHD6,75,79,58,32,40,52,130,66,81,135,162,62,89,94,109,57,79,144
ABHD8,1140,1224,821,920,861,1234,1011,997,947,14,72,27,413,207,406,191,210,396
ABI1,1338,1279,1181,1596,865,968,1853,1322,1446,381,1485,974,1902,2215,2732,1326,1494,3648
ABI2,3702,3965,3759,4729,2314,2769,5722,4333,4640,2111,4037,4334,4573,2850,6399,3535,4282,6484
ABI3,2,6,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
ABI3BP,1,1,0,2,0,3,2,2,2,1,14,27,4,17,6,2,0,3
ABL1,4301,4703,3654,5715,4202,4648,5083,4643,4721,160,1044,428,1886,1585,2024,1151,1289,2149
ABL2,1185,1288,1183,1282,886,1031,1880,1464,1590,744,1339,1198,1626,1436,2052,1146,1348,1869
ABLIM1,3573,1732,2407,1537,992,2134,1896,950,1348,35,69,204,200,114,663,162,218,277
ABLIM2,2519,2831,2253,1946,1559,1806,1127,1526,1473,40,199,94,120,60,66,115,87,119
ABLIM3,1319,1446,1200,265,332,364,9,1,6,55,85,69,3,8,0,1,0,1
ABO,2,17,15,199,126,30,560,114,297,635,1268,709,3,0,0,1,0,0
ABR,9555,9198,8283,7792,6151,7377,5179,11018,12660,885,3280,1551,1606,727,1280,1069,1003,1960
ABRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRACL,665,579,576,629,472,459,569,1004,897,440,2247,1387,273,343,587,149,179,431
ABT1,738,821,644,719,662,674,748,788,792,181,1099,748,1151,1770,1454,531,689,1726
ABT1P1,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0
ABTB1,2095,1695,1671,1241,1335,1527,883,991,886,171,610,329,684,228,204,335,300,297
ABTB2,311,278,270,317,304,349,67,46,55,32,224,159,123,75,103,46,51,127
AC000032.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000036.4,0,3,4,3,4,0,8,5,2,2,0,8,1,1,7,2,2,2
AC000041.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000067.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000068.10,24,23,24,30,28,31,60,45,60,0,2,6,11,1,17,7,5,14
AC000068.5,82,73,71,58,46,46,234,184,144,10,47,28,52,44,135,50,50,146
AC000068.9,33,25,32,35,23,31,105,96,69,10,19,27,26,18,48,25,38,39
AC000077.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,4,9
AC000078.5,8,1,3,3,3,4,0,1,1,0,0,0,0,0,0,0,0,0
AC000081.2,3,1,2,5,2,2,0,2,6,6,6,14,9,1,0,3,0,1
AC000089.3,3,2,1,1,2,0,5,1,1,0,0,0,0,0,0,0,0,0
AC000095.9,51,46,45,10,15,25,30,24,10,17,13,5,29,2,5,16,26,9
AC000099.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AC000111.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000120.7,10,10,10,14,6,15,68,61,49,0,5,5,16,1,3,14,13,0
AC000123.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000124.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000362.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000367.1,14,10,15,8,7,7,23,22,15,2,3,3,22,4,3,11,15,5
AC000370.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000374.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002044.4,1,4,3,2,3,4,1,3,3,183,168,215,3,3,0,12,8,2
AC002056.3,3,7,8,6,1,8,5,4,3,2,9,12,8,11,3,7,2,9
AC002056.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002059.10,10,11,4,7,9,5,4,5,9,10,4,14,31,7,11,17,12,8
AC002064.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AC002064.5,2,0,3,0,0,0,1,1,0,0,0,0,5,0,1,2,10,1
AC002066.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002069.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AC002069.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002075.3,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,1,0,0
AC002075.4,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0
AC002076.10,0,0,0,0,0,0,23,26,25,0,0,0,17,12,7,6,13,4
AC002115.5,8,6,6,7,7,5,1,0,1,0,0,0,0,0,0,0,0,0
AC002115.9,0,1,4,0,0,0,1,0,0,0,1,2,0,2,0,0,0,1
AC002116.7,50,37,40,24,29,44,51,51,48,19,29,28,66,37,14,46,59,25
AC002116.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002117.1,76,61,69,164,61,68,22,21,29,147,95,273,66,14,30,80,53,30
AC002127.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002127.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002128.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
AC002306.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
AC002310.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002310.12,104,89,84,54,51,90,149,139,142,55,107,92,127,100,167,125,132,238
AC002310.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002310.17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002310.7,48,57,65,24,52,35,48,51,51,38,22,34,84,15,67,52,49,76
AC002314.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AC002331.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002366.3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
AC002368.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AC002383.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002386.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002398.11,1,3,4,1,4,8,4,1,2,6,1,1,0,0,1,1,2,1
AC002398.12,0,4,3,0,5,2,9,2,4,1,1,1,5,2,0,1,2,1
AC002398.13,0,1,0,1,1,3,0,1,2,0,2,1,2,0,0,2,0,0
AC002398.9,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AC002400.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC002401.1,0,2,0,1,0,2,7,3,2,0,0,0,0,1,3,0,0,2
AC002429.4,4,2,1,2,0,0,4,0,5,0,0,0,0,0,0,0,0,0
AC002429.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AC002451.3,0,0,0,0,2,0,1,1,2,1,4,1,0,0,0,1,0,0
AC002454.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
AC002456.2,5,4,6,3,4,2,31,31,21,3,15,10,17,0,7,5,5,14
AC002463.3,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,2
AC002465.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002467.7,26,25,31,28,14,13,43,52,33,3,10,4,32,31,58,27,29,51
AC002472.11,0,0,1,1,0,3,2,0,2,0,0,0,0,0,0,1,4,0
AC002480.2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
AC002480.3,7,1,5,3,8,7,11,48,44,0,0,0,1,0,0,1,1,0
AC002480.4,0,0,0,0,0,2,5,8,4,0,0,0,0,0,0,0,0,0
AC002480.5,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1
AC002486.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002486.3,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AC002511.2,1,0,0,1,1,3,0,1,0,0,0,1,3,2,0,0,0,0
AC002511.3,0,1,0,1,1,1,1,0,0,0,0,0,3,5,2,0,0,0
AC002519.6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
AC002519.8,2,2,3,6,2,0,2,0,3,7,2,1,14,0,0,4,13,2
AC002523.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002539.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002542.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002543.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002550.5,2,4,5,4,5,3,6,7,3,3,2,4,1,1,0,1,0,3
AC002551.1,6,2,1,0,2,4,4,10,3,9,9,8,4,2,0,0,0,0
AC002553.4,3,0,0,0,1,0,3,1,4,2,6,3,5,1,0,3,1,1
AC002984.2,0,0,1,2,0,1,0,0,3,0,0,0,1,0,0,3,2,2
AC002985.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003002.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003002.6,4,4,1,4,3,5,5,0,5,0,0,0,11,10,3,5,9,11
AC003003.5,2,3,1,2,2,2,2,1,0,1,1,0,0,0,0,2,0,0
AC003005.2,9,3,8,8,1,4,5,9,4,5,4,5,20,13,1,4,3,1
AC003005.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC003006.7,3,4,2,12,2,2,6,2,4,0,0,0,0,0,0,0,0,0
AC003009.1,1,0,0,0,1,1,0,0,0,0,0,0,5,0,6,7,4,10
AC003045.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003075.4,0,0,4,3,0,1,8,1,0,0,3,0,0,0,0,0,0,0
AC003080.4,1,2,0,0,1,0,12,22,15,0,0,1,0,1,0,2,0,0
AC003084.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003088.1,1,4,7,2,0,3,5,11,3,6,7,2,14,2,4,9,7,7
AC003090.1,4,4,0,2,2,0,35,64,61,4,14,1,14,2,12,10,8,4
AC003092.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC003092.2,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0
AC003104.1,9,11,9,14,7,8,18,17,19,0,2,4,12,1,0,7,12,0
AC003664.1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AC003682.16,1,4,3,8,5,6,5,12,8,32,23,48,24,9,1,29,24,7
AC003682.17,1,0,0,3,3,1,0,0,1,0,0,0,2,1,0,2,1,1
AC003956.1,0,0,0,0,0,0,1,0,2,0,0,1,1,2,1,1,1,4
AC003958.2,0,0,0,0,0,0,0,0,0,11,16,5,1,0,0,0,0,0
AC003958.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003973.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003973.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003973.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003984.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003985.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AC003986.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
AC003986.6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,2
AC003986.7,0,0,0,0,0,0,0,0,0,0,0,0,10,2,4,4,3,1
AC003988.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003989.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003989.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AC003991.3,0,3,2,6,0,0,12,9,5,78,111,151,92,21,16,61,56,30
AC004004.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004006.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004009.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC004012.1,0,0,0,1,1,1,38,45,35,2,5,9,0,0,0,0,0,0
AC004014.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC004019.10,29,68,73,24,124,73,18,19,23,88,50,61,52,16,2,60,24,11
AC004019.13,1,6,5,6,5,8,6,5,3,2,3,4,5,1,1,4,13,5
AC004022.7,0,0,0,0,0,0,15,14,11,0,0,0,0,0,0,0,0,0
AC004022.8,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
AC004051.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004053.1,3,2,1,3,3,2,0,2,2,1,0,1,0,1,0,1,1,4
AC004054.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004057.1,37,54,61,68,66,84,87,106,95,12,29,24,9,14,25,5,7,14
AC004062.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004063.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004066.2,1,0,1,4,2,1,4,0,3,0,0,0,0,0,0,0,0,0
AC004066.3,9,6,2,16,7,7,7,3,4,0,1,0,0,0,0,0,0,0
AC004067.5,14,17,15,13,14,17,68,45,40,14,31,28,14,12,38,18,15,23
AC004069.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004069.2,13,8,7,13,6,13,21,33,28,4,18,10,3,2,5,7,3,5
AC004070.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004074.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004076.7,8,6,3,8,5,9,8,4,4,1,2,1,4,2,3,2,10,4
AC004076.9,7,15,6,9,8,3,1,2,0,0,0,0,5,0,2,3,5,4
AC004112.4,1,1,0,3,1,0,2,1,0,0,0,0,0,0,0,0,1,0
AC004125.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC004129.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004129.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004156.3,12,7,7,5,10,10,18,13,17,17,9,9,49,26,88,49,50,71
AC004158.3,78,86,61,90,42,53,193,262,210,0,0,1,3,4,1,2,4,20
AC004159.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004160.4,1,0,0,3,0,5,0,0,0,0,0,0,2,0,0,0,1,0
AC004221.2,1,4,0,0,0,0,3,7,4,0,0,0,12,1,2,2,8,1
AC004231.2,0,0,0,1,1,0,0,0,0,0,1,2,0,1,0,2,1,0
AC004237.1,0,0,0,0,0,0,0,0,0,20,18,22,38,17,18,39,38,31
AC004257.1,1,7,5,5,6,3,6,6,6,36,10,10,21,1,8,22,12,7
AC004381.6,1371,1227,1244,1058,881,987,1245,796,917,292,726,756,1233,685,1266,752,854,1309
AC004381.7,1,0,0,2,1,2,3,1,2,0,0,0,2,0,0,0,3,0
AC004383.3,17,11,17,13,14,12,61,49,59,0,1,3,25,7,17,36,26,15
